CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88557W101,QFIN,QFIN HOLDINGS INC,3125331,2041351,60.23M,39.34M,+188.3%,7.3%
36165L108,GDS,GDS HLDGS LTD,2974298,566345,103.8M,19.77M,+23.5%,12.6%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,2004719,995500,21.51M,10.68M,+98.6%,2.6%
89677Q107,TCOM,TRIP COM GROUP LTD,343893,75793,24.73M,5.45M,+28.3%,3%
90138A103,VNET,VNET GROUP INC,12498810,550841,105.74M,4.66M,+4.6%,12.8%
90114C107,TUYA,TUYA INC,1145371,1015849,2.42M,2.14M,+784.3%,0.29%
52490G102,LEGN,LEGEND BIOTECH CORP,252600,90800,5.49M,1.97M,+56.1%,0.67%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,396786,29412,21.84M,1.62M,+8%,2.6%
722304102,PDD,PDD HOLDINGS INC,2557700,13222,290.02M,1.5M,+0.5%,35.1%
482497104,BEKE,KE HLDGS INC,2015307,0,31.76M,0,NO CHANGE,3.8%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,665269,0,26.21M,0,NO CHANGE,3.2%
46267X108,IQ,IQIYI INC,11802100,0,22.66M,0,NO CHANGE,2.7%
44332N106,HTHT,H WORLD GROUP LTD,344135,0,16.19M,0,NO CHANGE,2%
00108J109,ACMR,ACM RESH INC,1929919,-73306,76.14M,-2.89M,-3.7%,9.2%
01609W102,BABA,ALIBABA GROUP HLDG LTD,111700,-50541,16.37M,-7.41M,-31.2%,2%
Total,,,,,825.1M,76.83M,+9%,100%
